TG	Coefficient
NFATC4	0.0215939
LRRFIP2	0.00128903
HNRNPL	0.0314127
CREB3	0.000108401
POLR2J	0.00225898
SHOX2	0.00148867
YEATS2	0.010029
ZBED3	0.000340821
PPP1R13L	0.000382718
ERG	0.0249845
ZBTB7B	0.00156964
MEF2C	0.000755711
PRKD2	0.00920469
ZNF155	0.00160504
ANAPC2	0.00189765
AES	0.00595603
ZHX3	0.000825194
ZBTB17	8.87738e-07
HDAC3	0.00108783
IRF1	0.000420564
GPBP1	0.00237013
KAT2A	0.000949002
ZNF3	0.0101821
TAF5L	0.00131583
ZNF419	0.000738723
EID2	0.000800627
EMX2	0.0318643
DHX57	2.63937e-05
POLR2K	0.000515365
DNA2	0.000681601
ZNF706	0.00113256
FOXC2	0.0458759
FBXO41	8.54309e-05
JUN	0.00466945
ZNF320	0.0014798
FGD1	0.0123398
ZNF788	0.0018868
ZNF404	0.015315
ZNF623	2.27269e-05
ZMYM4	0.00597275
ZFYVE26	0.00178713
BMPR1A	0.0027618
IRX1	0.00367275
ZNF610	0.000960719
THYN1	0.00129113
TRAF5	0.000519658
MTA3	9.23285e-05
GTF3A	0.00124218
ZNF496	0.00130086
RBM26	0.00854472
ZNF517	0.00888838
CEBPD	0.000335265
ZNF101	0.00635991
RARB	0.00686511
NUFIP1	0.00114967
ANXA4	0.000685789
ALX1	0.170192
NCOA2	0.00032639
PER3	4.24446e-05
TAF1A	3.55285e-05
ZBTB9	0.0131022
IRF3	0.0008926
ZNF865	0.002077
TGFB1I1	0.0021602
ZNF503	0.00491413
ZNF90	0.00186427
PGBD1	0.0038529
CEBPG	0.000949265
TRIM21	0.000276261
TIA1	0.00575177
ZNF83	1.48163e-06
FARSB	0.00427401
E2F1	0.00422219
CLOCK	0.000146816
TUB	0.0130195
TRIM5	0.000308598
MALT1	0.00135867
KDM5B	0.00131074
ZFAT	0.00167208
TRAF3	0.00149665
ZNF345	0.00710521
ZNF641	0.000964815
SP3	0.00248631
RREB1	0.00156439
ZNF112	0.00042523
PBX2	0.0286501
TADA2B	0.000625452
CHURC1	1.6162e-05
MLXIP	0.000127193
NKRF	0.00447812
ZFP36L1	3.69646e-05
ZFP69B	0.00514339
CAMK1D	0.00153887
MDFI	0.137162
ZBTB40	0.000347789
PLXND1	0.00120188
ZNF660	0.00957652
UNG	0.00262375
ZNF142	0.00338903
ZNF559	0.00207558
ZNF740	0.0185615
FUS	0.0136175
ZNF7	0.00798023
PRIMPOL	0.0003127
TCF4	0.0285598
ZNF18	0.00116429
ZNF784	0.00255252
ENO1	0.000827742
EDA2R	0.00853012
ZNF793	0.00497068
ZNF512	0.0211168
NCOA6	0.000561663
JUP	0.00298543
ZNF561	0.00120551
TIGD2	0.00106785
TIGD1	0.00103282
ZNF432	0.000706411
MPG	0.000807244
KDM1A	0.0101527
ZNF652	0.0043451
FAN1	0.00200535
TFAP4	0.0184294
ZNF579	0.0143818
TAF7	0.00499791
CDC6	0.00625937
NFYC	0.0105968
ZBTB7A	0.0020169
ZNF436	0.00139765
KMT2B	0.00766672
ZFPM1	0.00148558
FANCD2	0.00400628
TGIF2	0.00489687
ZNF529	0.00706714
ZNF776	0.0015105
PLXNA1	0.00453736
TCF3	0.011793
ZMAT2	0.00914476
ITGB3BP	0.00139087
FMNL2	0.00373826
ZNF391	0.00693272
ZKSCAN1	2.13863e-05
MLLT11	0.0938198
ZNF646	0.0089746
FOS	0.00372652
ZNF444	0.000493469
SIX2	0.015071
TBX15	0.00461445
FOXO3	0.000414618
DUSP12	0.000854591
GTF2A2	0.000111369
ZKSCAN7	0.0110061
KCMF1	0.000316384
TGIF1	0.00132511
LZTS1	0.023557
SUFU	0.0371122
SLC2A4RG	0.00968361
EPM2AIP1	0.00204566
E2F2	0.001903
ZNF324B	0.000768722
ETV6	0.00735836
ALX3	0.0327008
PHTF1	0.00139958
PCBP2	0.0111085
TBPL1	0.00128699
PBX4	0.00781127
PCSK6	0.000193739
ZNF577	0.001979
E2F6	0.00342214
DPF2	0.022098
MSX2	0.00018753
ZNF16	0.000117844
CHP1	0.00291953
SUPT5H	0.00440814
NR2F1	0.0404059
FIZ1	0.0014256
ZSCAN30	0.00531118
ADNP2	0.00286145
GON4L	0.00072211
MYCN	0.112217
KDM2B	0.00898819
ZNF45	0.00340293
HIF3A	0.00192502
ZC3H7B	0.00464879
